char,hanviet,pinyin
勁,"['kình', 'cứng', 'kính']",jing4
勾,['câu'],gou1
勾,"['cấu', 'câu']",gou4
化,['hoa'],hua1
化,['hoá'],hua4
匹,"['thất', 'thớt']",pi1
匹,"['thất', 'thớt']",pi3
區,['âu'],ou1
區,['khu'],qu1
卒,['thốt'],cu4
卒,"['tốt', 'tuất']",zu2
卝,['quán'],guan4
卝,['khoáng'],kuang4
占,['chiêm'],zhan1
占,['chiếm'],zhan4
卡,"['ca', 'tạp', 'khải']",ka3
卡,"['tạp', 'khải', 'ca']",qia3
卷,['cuộn'],juan3
卷,"['quyển', 'cuốn']",juan4
厪,"['cận', 'cẩn']",jin3
厪,['cần'],qin2
厶,['mỗ'],mou3
厶,['khư'],si1
厷,['quăng'],gong1
厷,['hoành'],hong2
厹,['cầu'],qiu2
厹,['nhu'],rou2
參,['tam'],san1
參,['tham'],can1
參,['sâm'],cen1
參,['sâm'],shen1
句,['câu'],gou1
句,"['câu', 'cú']",ju4
叨,['đao'],dao1
叨,['thao'],tao1
召,['thiệu'],shao4
召,"['triệu', 'chiêu']",zhao4
可,['khả'],ke3
可,['khắc'],ke4
吁,['hu'],xu1
吁,['dụ'],yu4
吅,['tụng'],song4
吅,['huyên'],xuan1
合,['cáp'],ge3
合,"['hợp', 'hiệp']",he2
吒,['tra'],zha1
吒,['trá'],zha4
否,"['phủ', 'phầu']",fou3
否,"['bĩ', 'bỉ']",pi3
吭,"['hàng', 'hạng']",hang2
吭,['khang'],keng1
吱,['chi'],zhi1
吱,['tư'],zi1
吶,"['nột', 'niệt']",na4
吶,"['nột', 'niệt']",na5
吽,['hồng'],hong1
吽,"['ngâu', 'ngầu', 'ẩu']",hou3
呢,['ni'],ne5
呢,['nỉ'],ni2
呫,['chiếp'],che4
呫,['thiếp'],tie4
呫,['chiếp'],zhan1
呵,['a'],a1
呵,['ha'],he1
咀,"['trớ', 'tứ']",ju3
咀,['chuỷ'],zui3
咋,['trách'],za3
咋,['trách'],ze2
咋,['trá'],zha4
和,['hoà'],he2
和,['hoạ'],he4
和,"['ù', 'hồ']",hu2
和,['hoà'],huo2
和,"['hoà', 'hoạ']",huo4
咥,['điệt'],die2
咥,['hí'],xi4
咧,['liệt'],lie1
咧,['liệt'],lie3
咧,['liệt'],lie5
咯,"['khách', 'cách']",ge1
咯,['lạc'],lo5
咯,"['khạc', 'lạc']",luo4
咱,['ta'],za2
咱,['ta'],zan2
咳,['hài'],hai1
咳,['khái'],ke2
咼,['qua'],guo1
咼,"['quai', 'oai']",wai1
咽,['yết'],yan1
咽,['yến'],yan4
咽,['ế'],ye4
哈,"['ha', 'hà']",ha1
哈,"['ha', 'hà']",ha3
哩,['lý'],li3
哩,['ly'],li5
哪,"['nả', 'na']",na3
哪,['na'],na5
哪,['na'],ne2
哪,"['nả', 'na']",nei3
唄,['bái'],bai4
唄,['bối'],bei5
唫,['ngâm'],yin2
唫,"['ngậm', 'cấm']",jin4
唯,['duy'],wei2
唯,['duỵ'],wei3
啁,"['triêu', 'trào', 'trù', 'chù', 'chu']",zhao1
啁,"['triêu', 'trào', 'trù', 'chù', 'chu']",zhou1
啊,['a'],a1
啊,['a'],a2
啊,['a'],a3
啊,['a'],a4
啊,['a'],a5
啞,['nha'],ya1
啞,"['á', 'ách']",ya3
喂,"['uy', 'ê', 'ơi']",wei2
喂,['uý'],wei4
喏,['nặc'],nuo4
喏,['nhạ'],re3
喔,"['ô', 'ốc']",o1
喔,"['ô', 'ốc']",wo5
喝,['húp'],he1
喝,['hét'],he4
喪,['tang'],sang1
喪,['táng'],sang4
單,"['thiện', 'thiền']",shan4
單,"['đơn', 'đan']",dan1
喲,['ôi'],yo1
喲,['dô'],yo5
嗄,['a'],a2
嗄,"['khàn', 'sá']",sha4
嗆,"['sặc', 'sang']",qiang1
嗆,"['sặc', 'sang']",qiang4
嗌,"['ách', 'ải']",ai4
嗌,"['ách', 'ải']",yi4
嗎,['ma'],ma2
嗎,['ma'],ma3
嗎,['ma'],ma5
嗒,['đáp'],da1
嗒,"['thẫn', 'tháp']",ta4
嘬,['toát'],chuai4
嘬,['toát'],zuo1
嘮,['lao'],lao2
嘮,['lao'],lao4
嘸,['phủ'],fu3
嘸,['mô'],m2
嘽,['xiển'],chan3
嘽,['than'],tan1
噦,['hối'],hui4
噦,"['oẹ', 'uế', 'uyết']",yue3
噯,['ải'],ai3
噯,['ái'],ai4
噲,['khoái'],kuai4
噲,['hồi'],wei4
噴,['phun'],pen1
噴,['phún'],pen4
嚄,['hoát'],huo4
嚄,['ô'],o3
囝,"['kiển', 'cưỡng', 'tể', 'nga', 'niên', 'niếp']",jian3
囝,['nam'],nan1
囤,['độn'],dun4
囤,"['tồn', 'đồn']",tun2
囪,['song'],chuang1
囪,['thông'],cong1
圈,['khuyên'],juan1
圈,['quyển'],juan4
圈,['khuyên'],quan1
圜,['hoàn'],huan2
圜,['viên'],yuan2
圣,['khốt'],ku1
圣,['thánh'],sheng4
坊,"['phường', 'phòng']",fang1
坊,"['phường', 'phòng']",fang2
坻,['trì'],chi2
坻,['để'],di3
埄,['bổng'],beng3
埄,['phong'],feng1
埋,['mai'],mai2
埋,['man'],man2
埏,['thiên'],shan1
埏,"['duyên', 'diên']",yan2
埔,['bộ'],bu4
埔,['phố'],pu3
場,"['tràng', 'trường']",chang2
場,['trường'],chang3
塞,['tắc'],sai1
塞,['tái'],sai4
塞,['tắc'],se4
塲,"['tràng', 'trường']",chang2
塲,['trường'],chang3
壓,['áp'],ya1
壓,['áp'],ya4
大,['đại'],da4
大,['đại'],dai4
夫,['phu'],fu1
夫,['phù'],fu2
夯,['bổn'],ben4
夯,"['hãng', 'kháng']",hang1
奄,['yểm'],yan3
奄,['yêm'],yan1
奇,['cơ'],ji1
奇,['kỳ'],qi2
奓,['xỉ'],chi3
奓,['xa'],she1
奓,['tra'],zha4
奔,['bôn'],ben1
奔,['bôn'],ben4
奘,['trang'],zang4
奘,['trang'],zhuang3
女,['nữ'],nu:3
女,['nhữ'],ru3
好,['hảo'],hao3
好,['hiếu'],hao4
妳,['nhĩ'],ni3
妳,"['nãi', 'nễ']",nai3
妻,['thê'],qi1
妻,['thế'],qi4
委,['uỷ'],wei3
委,['uy'],wei1
姥,['lão'],lao3
姥,"['mỗ', 'mụ']",mu3
娜,['na'],na4
娜,['na'],nuo2
娩,['miễn'],mian3
娩,['vãn'],wan3
媛,['viên'],yuan2
媛,['viện'],yuan4
媠,['noạ'],duo4
媠,['đoạ'],tuo2
嬛,['hoàn'],huan2
嬛,['quỳnh'],qiong2
嬛,['huyên'],xuan1
子,"['tử', 'tý']",zi3
子,['tử'],zi5
宊,['gia'],jia1
宊,['đột'],tu2
宿,['túc'],su4
宿,['tú'],xiu3
宿,['tú'],xiu4
寧,['ninh'],ning2
寧,['ninh'],ning4
將,['tương'],jiang1
將,['tướng'],jiang4
將,['thương'],qiang1
少,['thiểu'],shao3
少,['thiếu'],shao4
尨,['bàng'],pang2
尨,['mang'],mang2
尺,"['xích', 'chỉ']",che3
尺,"['thước', 'xích']",chi3
尿,['niệu'],niao4
尿,['tuy'],sui1
居,['cư'],ju1
居,['cớ'],ji1
屏,"['bình', 'bính']",bing1
屏,"['bình', 'bính']",bing3
屏,"['bình', 'bính']",ping2
屬,['thuộc'],shu3
屬,"['chúc', 'chú']",zhu3
屯,['đồn'],tun2
屯,['truân'],zhun1
峒,['động'],dong4
峒,['đồng'],tong2
崒,['tuỵ'],cui4
崒,['tốt'],zu2
嵌,['khảm'],kan3
嵌,['khảm'],qian4
嶄,['sàm'],chan2
嶄,['tiệm'],zhan3
巂,['huề'],gui1
巂,['tây'],xi1
差,['sai'],cha1
差,['sai'],cha4
差,['sai'],chai1
差,['si'],ci1
帖,['thiếp'],tie1
帖,"['thiệp', 'thiếp']",tie3
帖,['thiếp'],tie4
帹,['thiếp'],qie4
帹,['sáp'],sha4
幢,['tràng'],chuang2
幢,['tràng'],zhuang4
幬,['trù'],chou2
幬,['đào'],dao4
幾,"['cơ', 'ky']",ji1
幾,['kỷ'],ji3
度,['độ'],du4
度,['đạc'],duo2
廁,['xí'],ce4
廁,['xí'],si4
廑,['cận'],jin3
廑,['cần'],qin2
廡,['vu'],wu2
廡,['vũ'],wu3
弟,['đệ'],di4
弟,['đễ'],ti4
強,['cường'],qiang2
強,['cường'],jiang4
強,['cưỡng'],qiang3
彈,['đạn'],dan4
彈,['đàn'],tan2
彊,['cường'],jiang4
彊,['cường'],qiang2
彊,['cưỡng'],qiang3
彷,['phảng'],fang3
彷,['bàng'],pang2
徵,"['trưng', 'chứng']",zheng1
徵,['chuỷ'],zhi3
徼,['kiêu'],jiao3
徼,['kiếu'],jiao4
忕,['thệ'],shi4
忕,['thái'],tai4
怫,['phí'],fei4
怫,['phật'],fu2
恁,['nhẫm'],nen4
恁,['nâm'],nin2
悁,['quyên'],juan1
悁,['quyến'],juan4
悄,['tiễu'],qiao1
悄,['thiểu'],qiao3
悝,['khôi'],kui1
悝,['lý'],li3
悶,['muộn'],men1
悶,['muộn'],men4
惏,['lam'],lan2
惏,['lâm'],lin2
惡,['ác'],e3
惡,['ác'],e4
惡,['ố'],wu4
慊,['khiểm'],qian4
慊,"['khiết', 'khiếp']",qie4
應,['ưng'],ying1
應,['ứng'],ying4
懟,['dỗi'],dui3
懟,['dỗi'],dui4
戇,['cống'],gang4
戇,['tráng'],zhuang4
扁,['thiên'],pian1
扁,['biển'],bian3
扇,['thiên'],shan1
扇,['phiến'],shan4
扒,"['bái', 'bóc']",ba1
扒,['bát'],pa2
打,['tá'],da2
打,['đả'],da3
扛,['khiêng'],gang1
扛,['gánh'],kang2
扢,['cột'],gu3
扢,['hất'],xi4
扳,"['ban', 'bản']",ban1
扳,['phan'],pan1
把,['bả'],ba3
把,['bả'],ba4
折,['chiết'],she2
折,['chiết'],zhe1
折,['chiết'],zhe2
拂,['bật'],bi4
拂,"['phất', 'phật']",fu2
拓,['thác'],tuo4
拓,['tháp'],ta4
拗,['áo'],ao4
拗,['nữu'],niu4
拚,"['phấn', 'biện']",pan4
拚,"['phiên', 'bính']",pin1
拾,['thiệp'],she4
拾,['thập'],shi2
挑,"['khiêu', 'thao', 'thêu']",tiao1
挑,['khiêu'],tiao3
挨,['ai'],ai1
挨,['ai'],ai2
挾,['giáp'],jia1
挾,['hiệp'],xie2
捋,"['loát', 'vuốt', 'tuốt']",lu:3
捋,"['loát', 'vuốt', 'tuốt']",luo1
捭,['bãi'],bai3
捭,['phách'],bo4
据,['cư'],ju1
据,['cứ'],ju4
掃,['tảo'],sao3
掃,['táo'],sao4
掊,"['bồi', 'bốc']",pou2
掊,['phẩu'],pou3
掙,['tranh'],zheng1
掙,['tranh'],zheng4
掱,['vát'],pa2
掱,['thủ'],shou3
提,['đề'],di1
提,['đề'],ti2
揣,"['suy', 'suỷ']",chuai1
揣,"['suy', 'suỷ']",chuai3
搵,['uẩn'],wen3
搵,"['uấn', 'ấn', 'vấn']",wen4
搶,['thương'],qiang1
搶,['thưởng'],qiang3
摸,"['mò', 'mạc']",mo1
摸,['mô'],mo2
摻,['sam'],chan1
摻,['sảm'],shan3
摽,['phiêu'],biao1
摽,['phiếu'],biao4
撒,"['tản', 'tát']",sa1
撒,['tản'],sa3
撩,"['liêu', 'liệu']",liao1
撩,"['liêu', 'liệu']",liao2
擂,"['lôi', 'luỵ']",lei2
擂,"['lôi', 'luỵ']",lei4
擋,['đảng'],dang3
擋,['đáng'],dang4
操,"['thao', 'tháo']",cao1
操,['tháo'],cao4
擔,"['đảm', 'đam']",dan1
擔,"['đảm', 'đam']",dan4
擰,['ninh'],ning2
擰,['ninh'],ning3
擰,['ninh'],ning4
擿,['thích'],ti1
擿,['trích'],zhi4
攢,['toàn'],cuan2
攢,['toản'],zan3
教,['giáo'],jiao4
教,"['giao', 'giáo']",jiao1
散,['tản'],san3
散,['tán'],san4
數,['sổ'],shu3
數,['số'],shu4
數,['sác'],shuo4
斂,['liễm'],lian3
斂,['liệm'],lian4
於,['ư'],yu2
於,['ư'],yu1
於,['ô'],wu1
旄,['mao'],mao2
旄,['mạo'],mao4
旋,['hoàn'],xuan2
旋,"['hoàn', 'tuyền']",xuan4
晃,['hoảng'],huang3
晃,['hoàng'],huang4
晟,"['thịnh', 'thạnh']",cheng2
晟,"['thịnh', 'thạnh']",sheng4
暈,['vựng'],yun1
暈,['vựng'],yun4
暋,['mân'],min2
暋,['mẫn'],min3
暠,['cảo'],gao3
暠,['hạo'],hao4
更,"['canh', 'cánh']",geng1
更,"['càng', 'cánh']",geng4
曾,"['tằng', 'tăng']",zeng1
曾,['từng'],ceng2
會,['hội'],hui4
會,['cối'],kuai4
朝,['triều'],chao2
朝,['triêu'],zhao1
朴,['phác'],piao2
朴,['phác'],po4
杈,['xoa'],cha1
杈,['xoa'],cha4
杓,['tiêu'],biao1
杓,['thược'],shao2
杠,['giang'],gang1
杠,['cống'],gang4
杷,['ba'],ba4
杷,['bà'],pa2
杻,['sửu'],chou3
杻,['nữu'],niu3
枸,['câu'],gou1
枸,['cẩu'],gou3
枸,['củ'],ju3
柏,['bách'],bai3
柏,['bá'],bo2
柏,['bá'],bo4
柜,['quỹ'],gui4
柜,"['cử', 'cự']",ju3
校,['hiệu'],jiao4
校,['hiệu'],xiao4
桁,['hàng'],hang2
桁,['hành'],heng2
桄,['quang'],guang1
桄,['quáng'],guang4
桔,"['kết', 'cát']",jie2
桔,['quất'],ju2
椎,"['chuỳ', 'truỳ']",chui2
椎,['chuy'],zhui1
楂,['tra'],cha2
楂,['tra'],zha1
楛,['hộ'],hu4
楛,['khổ'],ku3
楷,['giai'],jie1
楷,['khải'],kai3
榜,['bảng'],bang4
榜,['bảng'],peng4
榜,['bảng'],bang3
樂,['lạc'],le4
樂,['nhạc'],yue4
樘,[],cheng3
樘,['đường'],tang2
橫,['hoành'],heng2
橫,['hoạnh'],heng4
檔,['đáng'],dang3
檔,['đáng'],dang4
欻,[],chua1
欻,['hốt'],xu1
正,['chinh'],zheng1
正,"['chính', 'chánh']",zheng4
歪,"['oai', 'oa']",wai1
歪,"['oai', 'oa']",wai3
殷,['ân'],yin1
殷,['an'],yan1
殷,['ẩn'],yin3
殽,['hào'],xiao2
殽,['hào'],yao2
比,"['tỷ', 'bỉ']",bi3
比,['bi'],bi1
氏,['thị'],shi4
氏,['chi'],zhi1
氐,['đê'],di1
氐,['để'],di3
汗,['hãn'],han2
汗,['hãn'],han4
沈,['thẩm'],shen3
沈,['trầm'],chen2
泊,['bạc'],bo2
泊,['bạc'],po1
泡,"['phao', 'bào']",pao1
泡,"['phao', 'bào']",pao4
泥,['nê'],ni2
泥,"['nệ', 'nễ']",ni4
洇,['yên'],yan1
洇,['nhân'],yin1
浜,['banh'],bang1
浜,['binh'],bin1
涼,['lương'],liang2
涼,['lượng'],liang4
混,"['hỗn', 'hồn']",hun2
混,['hỗn'],hun4
淺,['tiên'],jian1
淺,['thiển'],qian3
渠,['cừ'],qu2
渠,['cự'],ju4
渦,['qua'],guo1
渦,['oa'],wo1
湮,['yên'],yan1
湮,['nhân'],yin1
湯,['thang'],tang1
湯,['sương'],shang1
溜,"['lựu', 'lưu']",liu1
溜,['lựu'],liu4
溺,['nịch'],ni4
溺,['niệu'],niao4
漂,['phiêu'],piao1
漂,['phiếu'],piao3
漂,['phiếu'],piao4
漊,['lâu'],lou2
漊,['lũ'],lu:3
漚,['âu'],ou1
漚,['ủ'],ou4
漸,['tiêm'],jian1
漸,['tiệm'],jian4
潦,['lạo'],lao3
潦,['lao'],liao2
澹,"['đạm', 'đàm']",tan2
澹,['đạm'],dan4
濟,['tể'],ji3
濟,['tế'],ji4
濯,['trạo'],zhao4
濯,['trạc'],zhuo2
瀑,['bạo'],bao4
瀑,['bộc'],pu4
瀧,['sang'],shuang1
瀧,"['lung', 'lang']",long2
灠,['lãm'],lan3
灠,['lạm'],lan4
炅,['quý'],gui4
炅,['quýnh'],jiong3
炔,['quế'],gui4
炔,['khuyết'],que1
炮,['bào'],bao1
炮,['bào'],pao2
炮,['pháo'],pao4
炸,['trác'],zha2
炸,['tạc'],zha4
為,['vi'],wei2
為,"['vị', 'vì']",wei4
煆,"['hà', 'hạ']",xia1
煆,"['hà', 'hạ']",ya1
熨,['uý'],yu4
熨,['uất'],yun4
燕,['yên'],yan1
燕,['yến'],yan4
爲,['vi'],wei2
爲,['vị'],wei4
爿,['tường'],qiang2
爿,['bản'],pan2
牟,"['mưu', 'mâu']",mou2
牟,"['mưu', 'mâu']",mu4
猲,['hạt'],he4
猲,['yết'],xie1
猵,['biên'],bian1
猵,['biên'],pian4
率,['luật'],lu:4
率,"['suất', 'soái', 'suý', 'soát']",shuai4
王,['vương'],wang2
王,['vượng'],wang4
玟,['mân'],min2
玟,['văn'],wen2
瑱,['thiến'],tian4
瑱,"['chấn', 'trấn']",zhen4
甬,['dũng'],yong3
甬,['thùng'],tong3
町,['đinh'],ding1
町,['đinh'],ting3
畜,['súc'],chu4
畜,['húc'],xu4
番,['phan'],pan1
番,['phiên'],fan1
畬,['xa'],she1
畬,['dư'],yu2
當,"['đương', 'đang']",dang1
當,['đáng'],dang4
疋,['thất'],pi3
疋,['sơ'],shu1
疋,['nhã'],ya3
疸,['đáp'],da5
疸,['đản'],dan3
瘥,['sái'],chai4
瘥,['ta'],cuo2
癉,['đan'],dan1
癉,['đản'],dan4
的,['đích'],de5
的,['đích'],di1
的,['đích'],di2
的,['đích'],di4
皻,['cha'],cu3
皻,['tra'],zha1
盛,['thịnh'],sheng4
盛,['thình'],cheng2
監,"['giam', 'giám']",jian1
監,['giám'],jian4
相,['tương'],xiang1
相,['tướng'],xiang4
省,['tỉnh'],sheng3
省,['tỉnh'],xing3
看,['khán'],kan1
看,['khán'],kan4
瞤,['nhuần'],run2
瞤,['thuần'],shun4
瞭,['liễu'],liao3
瞭,['liêu'],liao4
石,['thạch'],shi2
石,['đạn'],dan4
砩,['phế'],fei4
砩,['phất'],fu2
碌,['lựu'],liu4
碌,['lục'],lu4
磑,['cai'],ai2
磑,['ngôi'],wei2
磑,['ngại'],wei4
磨,"['ma', 'mài']",mo2
磨,['má'],mo4
祇,['chỉ'],zhi3
祇,['kỳ'],qi2
祭,['sái'],zhai4
祭,['tế'],ji4
禁,"['cầm', 'câm']",jin1
禁,['cấm'],jin4
禪,['thiền'],chan2
禪,['thiện'],shan4
禺,['ngẫu'],ou3
禺,['ngu'],yu2
禺,['ngụ'],yu4
稍,"['sảo', 'sao']",shao1
稍,"['sảo', 'sao']",shao4
種,['chủng'],zhong3
種,"['trồng', 'chúng']",zhong4
稱,['xứng'],chen4
稱,['xưng'],cheng1
稱,['xứng'],cheng4
稽,['kê'],ji1
稽,['khể'],qi3
空,['không'],kong1
空,['khống'],kong4
窨,['huân'],xun1
窨,['ấm'],yin4
竺,['trúc'],zhu2
竺,['đốc'],du3
筊,['giảo'],jiao3
筊,['giảo'],jiao4
節,['tiết'],jie1
節,['tiết'],jie2
篹,['toán'],suan3
篹,['soạn'],zhuan4
篹,['toản'],zuan3
籠,['lồng'],long2
籠,"['lung', 'lồng']",long3
粥,['dục'],yu4
粥,['chúc'],zhou1
糜,['my'],mi2
糜,['my'],mei2
紀,['kỷ'],ji3
紀,['kỷ'],ji4
約,['yêu'],yao1
約,['ước'],yue1
累,"['luỵ', 'luỹ']",lei3
累,['luỵ'],lei4
結,['kết'],jie1
結,['kết'],jie2
絓,['quái'],gua4
絓,['quai'],kua1
絜,"['khiết', 'kiết']",jie2
絜,['hiệt'],xie2
絻,['miện'],mian3
絻,['vấn'],wen4
綜,['tống'],zeng4
綜,"['tổng', 'tông']",zong1
綴,"['chuyết', 'xuyết']",chuo4
綴,"['chuế', 'xuyết']",zhui4
縕,['uân'],yun1
縕,['uẩn'],yun4
縫,['phùng'],feng2
縫,['phúng'],feng4
繃,['băng'],beng1
繃,['băng'],beng3
繆,['mậu'],miao4
繆,['liễu'],liao3
繆,['mậu'],miu4
繆,['mâu'],mou2
繆,['mục'],mu4
繇,"['dao', 'diêu']",yao2
繇,['do'],you2
繇,"['chựu', 'lựu']",zhou4
繰,"['sào', 'tao']",qiao1
繰,"['sào', 'tao']",sao1
纚,['ly'],li2
纚,['sỉ'],xi3
罷,['bãi'],ba4
罷,['ba'],ba5
翟,['địch'],di2
翟,['trạch'],zhai2
耑,['chuyên'],zhuan1
耑,['đoan'],duan1
耙,"['ba', 'bá']",ba4
耙,"['ba', 'bá']",pa2
耶,"['gia', 'da']",ye1
耶,"['gia', 'da']",ye2
耶,"['gia', 'da']",ye5
肖,['tiêu'],xiao1
肖,['tiếu'],xiao4
背,['bối'],bei1
背,"['bối', 'bội']",bei4
胖,['bàn'],pan2
胖,['bàn'],pang4
脯,['phủ'],fu3
脯,['bô'],pu2
膀,['bảng'],bang3
膀,['báng'],bang4
膀,['bàng'],pang1
膀,['bàng'],pang2
膏,['cao'],gao1
膏,['cáo'],gao4
臊,['tao'],sao1
臊,['táo'],sao4
臧,['tang'],zang1
臧,['tạng'],zang4
臭,['xú'],chou4
臭,['khứu'],xiu4
與,['dư'],yu2
與,['dữ'],yu3
與,['dự'],yu4
興,['hưng'],xing1
興,['hứng'],xing4
舍,['xá'],she4
舍,['xả'],she3
般,['ban'],ban1
般,['bàn'],pan2
般,['bát'],bo1
艾,['ngải'],ai4
艾,['nghệ'],yi4
芫,['diêm'],yan2
芫,['nguyên'],yuan2
芴,['hốt'],hu1
芴,['vật'],wu4
芾,['phí'],fei4
芾,['phất'],fu2
苕,['thiều'],shao2
苕,['điều'],tiao2
茄,['gia'],jia1
茄,['cà'],qie2
茆,['mao'],mao2
茆,['mão'],mao3
茜,['thiến'],qian4
茜,['tây'],xi1
荅,['đáp'],da1
荅,['đáp'],da2
草,['thảo'],cao3
草,['tháo'],cao4
荑,['đề'],ti2
荑,['di'],yi2
荷,['hà'],he2
荷,['hạ'],he4
莎,['sa'],sha1
莎,['toa'],suo1
莘,['sân'],shen1
莘,['tân'],xin1
莞,['quan'],guan1
莞,['quản'],guan3
莞,['hoản'],wan3
莩,['phu'],fu2
莩,['biễu'],piao3
菀,['uyển'],wan3
菀,['uất'],yu4
菑,['tai'],zai1
菑,['tri'],zi1
華,['hoa'],hua2
華,['hoá'],hua4
華,['hoa'],hua1
菲,['phi'],fei1
菲,['phỉ'],fei3
菸,['yên'],yan1
菸,['ư'],yu1
萹,['phiên'],bian1
萹,['biển'],bian3
著,['trước'],zhao1
著,['trước'],zhao2
著,['trước'],zhe5
著,['trước'],zhuo2
著,['trứ'],zhu4
蒔,['thì'],shi2
蒔,['thi'],shi4
蒙,['mông'],meng2
蒙,['mông'],meng3
蒙,['mông'],meng1
蓋,['cái'],ge3
蓋,['cái'],gai4
蓼,['liệu'],liao3
蓼,['lục'],lu4
蔓,['man'],man2
蔓,['mạn'],man4
蔚,['uất'],yu4
蔚,['uý'],wei4
蕃,"['phồn', 'phiền']",bo1
蕃,['phiên'],fan1
蕃,"['phồn', 'phiền']",fan2
薄,['bạc'],bo2
薄,['bạc'],bao2
薄,['bạc'],bo4
薺,['tề'],ji4
薺,['tề'],qi2
藉,"['tá', 'tạ']",jie4
藉,['tịch'],ji2
藏,['tạng'],zang4
藏,['tàng'],cang2
蘋,['bình'],ping2
蘋,['tần'],pin2
處,['xử'],chu3
處,['xứ'],chu4
號,"['gào', 'hào']",hao2
號,['hiệu'],hao4
虺,['hôi'],hui1
虺,['huỷ'],hui3
蛸,['sao'],shao1
蛸,['sao'],xiao1
蝃,['đế'],di4
蝃,['chuyết'],zhuo1
蠡,['lê'],li2
蠡,"['lễ', 'lãi']",li3
行,"['hàng', 'hạng']",hang2
行,"['hành', 'hạnh']",xing2
術,['thuật'],shu4
術,[],zhu2
衣,['y'],yi1
衣,['ý'],yi4
衩,['sái'],cha3
衩,['sái'],cha4
衰,['thôi'],cui1
衰,['suy'],shuai1
衹,['chỉ'],zhi3
衹,['kỳ'],qi2
裨,"['bì', 'tì']",pi2
裨,"['bì', 'tì']",bi4
裼,['thế'],ti4
裼,['tích'],xi1
褚,['trữ'],chu3
褚,['trữ'],zhu3
褪,['thoái'],tui4
褪,['thốn'],tun4
褶,['tập'],xi2
褶,['triệp'],zhe3
襢,['đản'],tan3
襢,['triển'],zhan4
要,['yêu'],yao1
要,['yếu'],yao4
覃,[],qin2
覃,['đàm'],tan2
見,['kiến'],jian4
見,['hiện'],xian4
親,['thân'],qin1
親,"['thân', 'thấn']",qing4
覺,['giáo'],jiao4
覺,['giác'],jue2
觀,['quán'],guan4
觀,['quan'],guan1
角,['giác'],jue2
角,"['giác', 'giốc', 'góc']",jiao3
觜,['tuy'],zi1
觜,['chuỷ'],zui3
解,['giải'],xie4
解,['giải'],jie3
解,['giải'],jie4
訾,['ti'],zi1
